Bib ID,Tipo,Autor,Año,Título,Revista o editorial,Volumen,Número,Páginas,Ciudad,DOI,URL,ISBN,ISSN,Cobertura geográfica,Temas,Idioma,Estado de verificación,Notas,Cita sugerida
BIB-L-0001,Libro,Anónimo,1871,Civilización de los indios Tules,Imprenta de Medardo Rivas,,,,Bogotá,,,,,,,,No verificado externamente,,Anónimo. (1871). Civilización de los indios Tules. Imprenta de Medardo Rivas.
BIB-L-0002,Libro,"Cuervo, Rufino José",1872,Apuntaciones críticas sobre el lenguaje bogotano,Arnulfo Guarín,,,,Bogotá,,,,,,,,No verificado externamente,,"Cuervo, Rufino José. (1872). Apuntaciones críticas sobre el lenguaje bogotano. Arnulfo Guarín."
BIB-L-0003,Libro,"Carrasquilla, Ricardo",1881,Coplas escogidas.,"Impr. de M. Rivas,",,,,Bogotá,,,,,,,,No verificado externamente,,"Carrasquilla, Ricardo. (1881). Coplas escogidas.. Impr. de M. Rivas,."
BIB-L-0004,Libro,"Sandino, Wenceslao",1881,Historia de las plantas medicinales de Colombia,,,,,Bogotá,,,,,,,,No verificado externamente,,"Sandino, Wenceslao. (1881). Historia de las plantas medicinales de Colombia."
BIB-L-0005,Libro,"Gumilla, José",1882,El Orinoco Ilustrado,Imprenta Salesiana,,,,Barcelona,,,,,,,,No verificado externamente,,"Gumilla, José. (1882). El Orinoco Ilustrado. Imprenta Salesiana."
BIB-L-0006,Libro,"Crevaux, J.",1883,Voyages dans l' Amerique du Sud,Hachette,,,,París,,,,,,,,No verificado externamente,,"Crevaux, J.. (1883). Voyages dans l' Amerique du Sud. Hachette."
BIB-L-0007,Libro,"Vargas, Constancio Franco",1885,"Leyendas históricas : Boves, Morillo, Latorre","Imprenta de Vapor de Zalamea Hermanos,",,,,Bogotá,,,,,,,,No verificado externamente,,"Vargas, Constancio Franco. (1885). Leyendas históricas : Boves, Morillo, Latorre. Imprenta de Vapor de Zalamea Hermanos,."
BIB-L-0008,Libro,C.C.B.,1890,El dorado,"Minerva,",,,,Bogotá,,,,,,,,No verificado externamente,,"C.C.B.. (1890). El dorado. Minerva,."
BIB-L-0009,Libro,"Cordovez Moure, José María",1899,Reminiscencias de Santa Fe y Bogotá,Librería Americana,,,,Bogotá,,,,,,,,No verificado externamente,,"Cordovez Moure, José María. (1899). Reminiscencias de Santa Fe y Bogotá. Librería Americana."
BIB-L-0010,Libro,"Henao, Januario",1905,Cuentos y cantares antioqueños populares,Tipograúa del Comercio,,,,Medellín,,,,,,,,No verificado externamente,,"Henao, Januario. (1905). Cuentos y cantares antioqueños populares. Tipograúa del Comercio."
