Corpus ID,Slug,Título,Macro tipo,Género,Año de recolección,Municipio o localidad,Departamento,Región provisional,Recolector,Tipo de fuente,Fuente bibliográfica ID,Autor de la fuente,Título de la fuente,Año de la fuente,URL de la fuente,Estado de derechos,Estado de privacidad,Estado de publicación,Alertas de calidad
CLTC-0001-L,el-hijo-de-m-hija-cltc-0001-l,El hijo de m'hija,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Nariño,Pacífica/Andina — requiere precisión municipal,Roberto Giraldo,Artículo de revista,,"Giraldo, Roberto",Folklore y etnología,1941,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización; Fuente bibliográfica: sin coincidencia
CLTC-0002-L,avisame-cuando-vas-cltc-0002-l,Avisáme cuando vas,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Ibagué,Tolima,Andina,Roberto Pineda Giraldo,Artículo de revista,BIB-A-0327,"Pineda Giraldo, Roberto",Folklore y etnología,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",
CLTC-0003-L,yo-a-veces-quisiera-ser-cltc-0003-l,"Yo, a veces, quisiera ser",Lírica,Estrofa de cuatro versos — clasificación abierta,1947,Ibagué,Tolima,Andina,Roberto Pineda Giraldo,Artículo de revista,BIB-A-0327,"Pineda Giraldo, Roberto",Folklore y etnología,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",
CLTC-0004-L,si-no-me-quiero-casar-cltc-0004-l,Si no me quiero casar,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
CLTC-0005-L,casate-si-te-provoca-cltc-0005-l,Casáte si te provoca,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
CLTC-0006-L,pa-que-se-case-y-se-friegue-cltc-0006-l,Pa que se case y se friegue,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
CLTC-0007-L,el-buey-solo-bien-se-lambe-cltc-0007-l,El buey solo bien se lambe,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
CLTC-0008-L,que-vaina-con-la-injusticia-cltc-0008-l,Qué vaina con la injusticia,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
CLTC-0009-L,si-yo-supiera-que-nadie-cltc-0009-l,Si yo supiera que nadie,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
CLTC-0010-L,si-la-mujer-y-los-hijos-cltc-0010-l,Si la mujer y los hijos,Lírica,Estrofa de cuatro versos — clasificación abierta,1947,,Boyacá,Andina,Octavio Quiñones Pardo,Artículo de revista,BIB-A-0330,"Quiñones Pardo, Octavio",Diez coplas y un proyecto de ley,1947,,Metadatos publicables; verificar derechos de reproducción del texto,Sin alerta automática; revisar el contexto de la fuente,"Publicar metadatos; habilitar texto solo con permiso, licencia o dominio público verificado",Falta localización
